Countris;";"
Angola;";"
Argelia;";"
Benin;";"
Botswana;";"
Burkina Faso;";"
Burundi;";"
Cabo Verde;";"
Camerún (el);";"
Chad (el);";"
Comoras (las);";"
Congo (el);";"
Côte d'Ivoire;";"
Djibouti;";"
Egipto;";"
Eritrea;";"
Etiopía;";"
Gabón (el);";"
Gambia;";"
Ghana;";"
Guinea;";"
Guinea-Bissau;";"
Guinea Ecuatorial (la);";"
Kenya;";"
Lesotho;";"
Liberia;";"
Jamahiriya Árabe Libia (la);";"
Madagascar;";"
Malawi;";"
Malí;";"
Marruecos;";"
Mauricio;";"
Mauritania;";"
Mozambique;";"
Namibia;";"
Níger (el);";"
Nigeria;";"
República Centroafricana (la);";"
República Democrática del Congo (la);";"
Rwanda;";"
Santo Tomé y Príncipe;";"
Senegal (el);";"
Seychelles;";"
Sierra Leona;";"
Somalia;";"
Sudáfrica;";"
Sudán (el);";"
Sudán del Sur (el);";"
Swazilandia;";"
República Unida de Tanzanía (la);";"
Togo (el);";"
Túnez;";"
Uganda;";"
Zambia;";"
Zimbabwe;";"
Australia;";"
Fiji;";"
Islas Marshall (las);";"
Islas Salomón (las);";"
Kiribati;";"
Micronesia (Estados Federados de);";"
Nauru;";"
Nueva Zelandia;";"
Palau;";"
Papua Nueva Guinea;";"
Samoa;";"
Tonga;";"
Tuvalu;";"
Vanuatu;";"
Albania;";"
Alemania;";"
Andorra;";"
Austria;";"
Belarús;";"
Bélgica;";"
Bosnia y Herzegovina;";"
Bulgaria;";"
Chipre;";"
Croacia;";"
Dinamarca;";"
Eslovaquia;";"
Eslovenia;";"
España;";"
Estonia;";"
Finlandia;";"
Francia;";"
Grecia;";"
Hungría;";"
Irlanda;";"
Islandia;";"
Italia;";"
Letonia;";"
Liechtenstein;";"
Lituania;";"
Luxemburgo;";"
ex República Yugoslava de Macedonia (la);";"
Malta;";"
República de Moldova (la);";"
Mónaco;";"
Montenegro;";"
Noruega;";"
Países Bajos (los);";"
Polonia;";"
Portugal;";"
Reino Unido de Gran Bretaña e Irlanda del Norte (el);";"
República Checa (la);";"
Rumania;";"
Federación de Rusia (la);";"
San Marino;";"
Serbia;";"
Suecia;";"
Suiza;";"
Turquía;";"
Ucrania;";"
Vaticano (Santa Sede);";"
Afganistán (el);";"
Arabia Saudita (la);";"
Armenia;";"
Azerbaiyán;";"
Bahrein;";"
Bangladesh;";"
Bhután;";"
Brunei Darussalam;";"
Camboya;";"
China;";"
República de Corea (la);";"
República Popular Democrática de Corea (la);";"
Emiratos Árabes Unidos (los);";"
Filipinas;";"
Georgia;";"
India (la);";"
Indonesia;";"
Irán (República Islámica del);";"
Iraq (el);";"
Israel;";"
Japón (el);";"
Jordania;";"
Kazajstán;";"
Kirguistán;";"
Kuwait;";"
República Democrática Popular Lao (la);";"
Líbano (el);";"
Malasia;";"
Maldivas;";"
Mongolia;";"
Myanmar;";"
Nepal;";"
Omán;";"
Pakistán (el);";"
Palestina;";"
Qatar;";"
Singapur;";"
República Árabe Siria (la);";"
Sri Lanka;";"
Tailandia;";"
Tayikistán;";"
Timor-Leste;";"
Turkmenistán;";"
Uzbekistán;";"
Viet Nam;";"
Yemen (el);";"
Antigua y Barbuda;";"
Argentina (la);";"
Bahamas (las);";"
Barbados;";"
Belice;";"
Bolivia (Estado Plurinacional de);";"
Brasil (el);";"
Canadá (el);";"
Chile;";"
Colombia;";"
Costa Rica;";"
Cuba;";"
Dominica;";"
Ecuador (el);";"
El Salvador;";"
Estados Unidos de América (los);";"
Granada;";"
Guatemala;";"
Guyana;";"
Haití;";"
Honduras;";"
Jamaica;";"
México;";"
Nicaragua;";"
Panamá;";"
Paraguay (el);";"
Perú (el);";"
Dominicana (la);";"
Saint Kitts y Nevis;";"
San Vicente y las Granadinas;";"
Santa Lucía;";"
Suriname;";"
Trinidad y Tabago;";"
Uruguay (el);";"
Venezuela (República Bolivariana de);";"
